Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Варшавская, Brewlok  Мыло Асс.,Напитки б/а (Ф),Россия,5,1900.0,965.15,0.9686,934.85,A,B,A,ABA
Варшавская,"4BREWERS Заяц в шоке, ж/б. 0,450",Сауэр эли (Ф),Россия ,2,1016.89,532.0,0.91145,484.89,B,B,B,BBB
Варшавская,"4Brewers  Магия , ж/б. 0,500 .",Сауэр эли (Ф),Россия ,2,1300.0,519.4,1.5029,780.6,A,A,A,AAA
Варшавская,"4Brewers Грибы судьбы ж/б 0,450 ",Сауэр эли (Ф),Россия ,1,450.0,206.78,1.1762,243.22,C,A,C,CAC
Варшавская,"4Brewers Зависимость Болгарский перц, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,5,2241.68,1154.57,0.8964500000000001,1087.11,A,B,A,ABA
Варшавская,"4Brewers Зависимость, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,1,435.13,200.9,1.1659,234.23,C,A,C,CAC
Варшавская,"4Brewers Схемки, 0,450 ж/б",НЕИПА (Ф),Россия ,1,590.0,267.0,1.2097,323.0,B,A,B,BAB
Варшавская,Andreev Meridian Breeze 0.75,Сидры и пуаре ур 2 (Ф),Россия,1,1200.0,560.0,1.1429,640.0,A,A,A,AAA
Варшавская,"Big Village Момиджигари, ж/б. 0,500 .",Сауэр эли (Ф),Россия,2,1100.0,514.8,1.1368,585.2,A,A,B,AAB
Варшавская,"Chibis brewery Сладкоежка 2  ж/б 0,450",Сауэр эли (Ф),Россия,3,1729.86,810.0,1.11085,919.86,A,B,A,ABA
Варшавская,"Chibis brewery Сладкоежка 3  ж/б 0,450",Сауэр эли (Ф),Россия,3,1673.71,810.0,1.0663333333333334,863.71,A,B,A,ABA
Варшавская,"Gletcher Nut Butter, ж/б. 0,500 .",Темные эли (Ф),Россия ,1,390.0,172.0,1.2674,218.0,C,A,C,CAC
Варшавская,"Konix Salt and Malt, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,6,2129.55,840.0,1.5978,1289.55,A,A,A,AAA
