Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Кременчугская, Brewlok  Мыло Асс.,Напитки б/а (Ф),Россия,7,2660.0,1351.21,0.9686,1308.79,A,B,A,ABA
Кременчугская,"4Brewers | Зависимость"" Черный перец"" | 450мл.",Гозе и овощные гозе (Ф),Россия,1,520.0,223.44,1.3272,296.56,C,A,C,CAC
Кременчугская,"4Brewers Большой брат, ж/б. 0,500 .",Дабл ИПА + (Ф),Россия ,4,2133.42,893.76,1.3621666666666667,1239.66,A,A,A,AAA
Кременчугская,"4Brewers Зависимость Зеленые оливки, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,4,2080.0,889.84,1.3374999999999997,1190.16,A,A,A,AAA
Кременчугская,"4Brewers Зависимость, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,4,2080.0,803.6,1.5884,1276.4,A,A,A,AAA
Кременчугская,"Atmosphere brew Кислый движ, ж/б. 0,500 .",Сауэр эли (Ф),Россия ,3,1320.0,594.0,1.2222,726.0,B,A,B,BAB
Кременчугская,"Bombardier Premium British, 0,5 бут",Имперское (Ф),Англия,1,750.0,263.45,1.8468,486.55,B,A,B,BAB
Кременчугская,Brewlok | Черный Пес | 500мл.,ИПА (Ф),Россия,2,734.26,353.08,1.07955,381.18,B,B,B,BBB
Кременчугская,"Gletcher Nut Butter, ж/б. 0,500 .",Темные эли (Ф),Россия ,4,1560.0,688.0,1.2674,872.0,A,A,A,AAA
Кременчугская,"Gravity Project Blueberry Jam, бут. 0,5л",Сидры б/а (Ф),Россия,2,900.0,475.2,0.8939,424.8,B,B,B,BBB
Кременчугская,"Gypsy Queen абрикос молочный улун, ж/б 0.33",Напитки б/а (Ф),Россия,1,320.0,140.58,1.2763,179.42,C,A,C,CAC
Кременчугская,"Konix Cappuccino Stout, ж/б. 0,500 .",Темные эли (Ф),Россия ,3,1170.0,420.0,1.7857,750.0,B,A,B,BAB
Кременчугская,"Konix Choose your Fighter, ж/б. 0,450 .",НЕИПА (Ф),Россия ,5,2699.0,1450.0,0.852625,1249.0,A,C,A,ACA
Кременчугская,"Konix Mary Stay Home, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,4,1720.0,828.0,1.0773,892.0,A,B,A,ABA
Кременчугская,"Konix Salt and Malt, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,3,1170.0,420.0,1.7857,750.0,B,A,B,BAB
Кременчугская,Konix Сладкоежка 500мл.,Сауэр эли (Ф),Россия,1,520.0,270.0,0.9259,250.0,C,B,C,CBC
Кременчугская,Lapochka cola ж/б 0.33,Напитки б/а (Ф),Россия,1,290.0,112.0,1.5893,178.0,C,A,C,CAC
Кременчугская,"Lapochka Мираж: малина, гранат, ромашка, ж/б 0.33",Напитки б/а (Ф),Россия,4,895.12,447.95,0.99825,447.17,B,B,B,BBB
Кременчугская,"Lapochka Попробуй технологии на вкус, ж/б 0.33",Напитки б/а (Ф),Россия,7,2030.0,783.21,1.5919333333333334,1246.79,A,A,A,AAA
Кременчугская,Midnight Project | Cyberpunk Shotgun | 500мл.,Дабл ИПА + (Ф),Россия,5,2838.75,1202.8,1.3601199999999998,1635.95,A,A,A,AAA
Кременчугская,Newcastle 0.33 бут,"Карамельное, янтарное пиво 2 Ф",Англия,1,590.0,252.2,1.3394,337.8,B,A,C,BAC
Кременчугская,"Old Speckled Hen, 0,5 ж/б","Карамельное, янтарное пиво 2 Ф",Англия,5,3300.0,1115.5,1.9583,2184.5,A,A,A,AAA
Кременчугская,"PP Anubis, бут. 0,500 .",Имперское (Ф),Россия,1,630.0,276.45,1.2789,353.55,B,A,B,BAB
Кременчугская,"PP Noggenfogger Elixir, ж/б. 0,500 .",НЕИПА (Ф),Россия ,2,1260.0,519.92,1.4234,740.08,B,A,B,BAB
Кременчугская,"PP Жигуликеллер, 0,500 ж/б.",Другие лагеры (Ф),Мексика,3,1590.0,712.95,1.2302,877.0500000000001,A,A,A,AAA
Кременчугская,Paradox | IPA | 450мл.,ИПА (Ф),Россия,1,440.0,207.0,1.1256,233.0,C,B,C,CBC
Кременчугская,"Sabotage Sour Habit,500мл.",Сауэр эли (Ф),Россия,1,490.0,0.0,0.0,490.0,C,C,B,CCB
Кременчугская,"Saldens Citra & Mosaic DIPA, ж/б. 0,450 .",Дабл ИПА + (Ф),Россия ,4,1903.66,900.0,1.115175,1003.66,A,B,A,ABA
Кременчугская,"Saldens Triple IPA ж/б. 0,450 .",Дабл ИПА + (Ф),Россия ,1,550.0,245.0,1.2449,305.0,C,A,C,CAC
Кременчугская,"StadsHaven Great White, 0,330 бут.",Бланш (Ф),Нидерланды,24,8321.279999999999,3482.95,1.7753,4838.33,A,A,A,AAA
Кременчугская,"StadsHaven Moray IPA б/а бут. 0,330 .",Пиво б/а (Ф),Нидерланды,2,980.0,299.2,2.2754,680.8,B,A,B,BAB
Кременчугская,"StadsHaven Moray IPA бут. 0,330 .",ИПА (Ф),Нидерланды,1,370.74,152.81,1.4262,217.93,C,A,C,CAC
Кременчугская,"StadsHaven Octopus Blond 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,3,1230.7,430.47,1.858933333333333,800.23,B,A,A,BAA
Кременчугская,"StadsHaven RedHead Ale, 0,330 бут.","Карамельное, янтарное пиво 2 Ф",Нидерланды,1,420.0,142.0,1.9577,278.0,C,A,C,CAC
Кременчугская,"StadsHaven Sailor's lager , 0,330 бут.",Другие лагеры (Ф),Нидерланды,1,420.0,143.52,1.9264,276.48,C,A,C,CAC
Кременчугская,"Zagovor Emo in A Big City, ж/б. 0,500 .",Сауэр эли (Ф),Россия ,1,630.68,231.0,1.7302,399.68,B,A,B,BAB
Кременчугская,"Zagovor Цитра Цитра Цитра, ж/б. 0,450 .",ИПА (Ф),Россия,3,1331.0,828.0,0.6075333333333334,503.0,A,C,B,ACB
Кременчугская,"АФ БРЮ Ингрия 0,330 бут.",ИПА (Ф),Россия,3,1320.0,591.0,1.2335,729.0,B,A,B,BAB
Кременчугская,"АФ БРЮ Ит зе даст МОЗАИК, ж/б. 0,500 .",Дабл ИПА + (Ф),Россия,2,1141.85,590.0,0.93535,551.85,B,B,B,BBB
Кременчугская,"АФ БРЮ Пэшн из май конфешн, ж/б. 0,500 .",Сауэр эли (Ф),Россия,2,1120.0,622.0,0.8006,498.0,B,C,B,BCB
Кременчугская,"АФ БРЮ Хоппи Серф, бут. 0,33 бут .","Голден эли, АПА, Пэйл эли (Ф)",Россия,1,420.0,191.0,1.199,229.0,C,A,C,CAC
Кременчугская,"Августин Блонд 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,2,944.0,364.0,1.5934,580.0,B,A,B,BAB
Кременчугская,"Августинер Эдельштофф, 0,500 бут.",Хели (Ф),Германия ,1,750.0,344.35,1.178,405.65,B,A,B,BAB
Кременчугская,"Айингер Лагер Хелл, 0,500 бут.",Хели (Ф),Германия ,4,2840.0,1268.4,1.239,1571.6,A,A,A,AAA
Кременчугская,"Айингер Фестмарцен , 0,500 бут.",Другие лагеры (Ф),Германия,14,10634.92,4273.92,1.4827,6361.0,A,A,A,AAA
Кременчугская,"Баптист Вит, 0,33 бут",Бланш (Ф),Нидерланды,20,11505.0,4942.35,1.40355,6562.65,A,A,A,AAA
Кременчугская,"Белхевен Блэк Стаут, 0,440  ж/б.",Темные эли (Ф),Бельгия,5,3450.0,1243.52,1.774375,2206.48,A,A,A,AAA
Кременчугская,"Борнем Дубль, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,1,590.0,212.36,1.7783,377.64,C,A,B,CAB
