Дата;Множитель;Лиговский;Варшавская;БО;Кременчугская;Итого
01 (ср);1x;30535;23604;31665;38223;124028
02 (чт);1x;30535;23604;31665;38223;124028
03 (пт);2x;61070;47208;63330;76447;248056
04 (сб);2x;61070;47208;63330;76447;248056
05 (вс);1x;30535;23604;31665;38223;124028
06 (пн);1x;30535;23604;31665;38223;124028
07 (вт);1x;30535;23604;31665;38223;124028
08 (ср);1x;30535;23604;31665;38223;124028
09 (чт);1x;30535;23604;31665;38223;124028
10 (пт);2x;61070;47208;63330;76447;248056
11 (сб);2x;61070;47208;63330;76447;248056
12 (вс);1x;30535;23604;31665;38223;124028
13 (пн);1x;30535;23604;31665;38223;124028
14 (вт);1x;30535;23604;31665;38223;124028
15 (ср);1x;30535;23604;31665;38223;124028
16 (чт);1x;30535;23604;31665;38223;124028
17 (пт);2x;61070;47208;63330;76447;248056
18 (сб);2x;61070;47208;63330;76447;248056
19 (вс);1x;30535;23604;31665;38223;124028
20 (пн);1x;30535;23604;31665;38223;124028
21 (вт);1x;30535;23604;31665;38223;124028
22 (ср);1x;30535;23604;31665;38223;124028
23 (чт);1x;30535;23604;31665;38223;124028
24 (пт);2x;61070;47208;63330;76447;248056
25 (сб);2x;61070;47208;63330;76447;248056
26 (вс);1x;30535;23604;31665;38223;124028
27 (пн);1x;30535;23604;31665;38223;124028
28 (вт);1x;30535;23604;31665;38223;124028
29 (ср);1x;30535;23604;31665;38223;124028
30 (чт);1x;30535;23604;31665;38223;124028
