Сорт;Порций;Выручка;Вариантов в меню;Примеры названий
ФестХаус Хеллес;20472;9317141;6;ФестХаус Хеллес  | ФестХаус Хеллес (0,25) | ФестХаус Хеллес (0,4)
ФестХаус Вайцен;5717;2689969;6;ФестХаус Вайцен  | ФестХаус Вайцен (0,25) | ФестХаус Вайцен (0,4)
Литовел Мораван;4655;4129727;6;Литовел Мораван  | Литовел Мораван (0,25) | Литовел Мораван (0,4)
Коникс Черри Руби;3291;2104379;10;ВО Коникс Черри Руби (0,25) | ВО Коникс Черри Руби (0,4) | ВО Коникс Черри Руби (0,5) (б)
Brewlok IPA;3169;1774702;10;Brewlok IPA | Brewlok IPA (0,25) | Brewlok IPA (0,4)
Нишко Лагер;2170;1043626;4;Нишко Лагер (0,25) | Нишко Лагер (0,4) | Нишко Лагер (0,5)
Палм;1971;1634466;8;ВО Палм (0,25) | ВО Палм (0,4) | ВО Палм (0,5) (б)
Локал Лагер (Рыжее);1801;884412;9; ВО Локал Лагер (Рыжее)  |  ВО Локал Лагер (Рыжее) (0,25) |  ВО Локал Лагер (Рыжее) (0,5) (б)
Монкс Кафе;1524;1458515;10;ВО Монкс Кафе (0,25) | ВО Монкс Кафе (0,4) | ВО Монкс Кафе (0,5) (б)
Коникс Бланш ма Шери;1407;638309;5;Коникс Бланш ма Шери  (0,25) | Коникс Бланш ма Шери (0,4) | Коникс Бланш ма Шери (0,5)
Блек Шип;1392;542183;4;Блек Шип (0,25) | Блек Шип (0,4) | Блек Шип (0,5)
Бланш де Намур;1295;933601;5;Бланш де Намур | Бланш де Намур (0,25) | Бланш де Намур (0,4)
Brewlok Stout;1279;682621;9;Brewlok Stout | Brewlok Stout (0,25) | Brewlok Stout (0,4)
Ригеле Коммерциенрат;1210;902333;4;Ригеле Коммерциенрат (0,25) | Ригеле Коммерциенрат (0,4) | Ригеле Коммерциенрат (0,5)
Ригеле Файнес Урхелль;1138;1178590;10;ВО Ригеле Файнес Урхелль (0,25) | ВО Ригеле Файнес Урхелль (0,4) | ВО Ригеле Файнес Урхелль (0,5) (б)
Нектар Лагер;1077;557767;6;Нектар Лагер | Нектар Лагер (0,25) | Нектар Лагер (0,4)
Джаст Хёфевайцен;1007;442091;6;ВО Джаст Хёфевайцен | ВО Джаст Хёфевайцен (0.5) (б) | ВО Джаст Хёфевайцен (1,0)
Зубр;1003;624558;4;Зубр (0,25) | Зубр (0,4) | Зубр (0,5) 
Brewlok Василиса;947;530808;6;Brewlok Василиса | Brewlok Василиса (0,25) | Brewlok Василиса (0,4)
Brewlok Пилс;885;313936;5;Brewlok Пилс | Brewlok Пилс (0,25) | Brewlok Пилс (0,4)
Гулден Драк 708;832;715828;9;ВО Гулден Драк 708 (0,25) | ВО Гулден Драк 708 (0,4) | ВО Гулден Драк 708 (0,5) (б)
Абанамат;756;428102;5;Абанамат (0,25) | Абанамат (0,4) | Абанамат (0,5) 
ЛеФорт Трипель;749;730447;5;ЛеФорт Трипель (0,25) | ЛеФорт Трипель (0,4) | ЛеФорт Трипель (0,5) 
Velka Morava Пятипитие;710;357815;4;Velka Morava Пятипитие (0,25) | Velka Morava Пятипитие (0,4) | Velka Morava Пятипитие (0,5)
Астролагер Премиум Пилс;697;479268;5;Астролагер Премиум Пилс (0,25) | Астролагер Премиум Пилс (0,4) | Астролагер Премиум Пилс (0,5)
План Б Ковбой Мальборо;677;291520;5;План Б Ковбой Мальборо (0,25) | План Б Ковбой Мальборо (0,4) | План Б Ковбой Мальборо (0,5)
Бюльви Рустик полусухой;665;293753;6;Бюльви Рустик полусухой | Бюльви Рустик полусухой  (0,25) | Бюльви Рустик полусухой (0,4)
ФестХаус Октобер;658;402173;4;ФестХаус Октобер (0,25) | ФестХаус Октобер (0,4) | ФестХаус Октобер (0,5)
Василеостровское Пшеничное;643;335205;5;Василеостровское Пшеничное  (0,5) | Василеостровское Пшеничное (0,25) | Василеостровское Пшеничное (0,4)
Новопак Кумбурак;599;334153;6;Новопак Кумбурак | Новопак Кумбурак (0,25) | Новопак Кумбурак (0,4)
Стинбрюгге Бланш;557;432288;5;Стинбрюгге Бланш (0,25) | Стинбрюгге Бланш (0,4) | Стинбрюгге Бланш (0,5)
Барбе Руби;478;482369;8;Барбе Руби (0,25) | Барбе Руби (0,4) | Барбе Руби (0,5) 
ХБ Октоберфест;444;510893;6;ХБ Октоберфест (0,25) | ХБ Октоберфест (0,4) | ХБ Октоберфест (0,5)
Локал Лагер (Светлое);415;213691;9;ВО Локал Лагер (Светлое) | ВО Локал Лагер (Светлое) (0,25) | ВО Локал Лагер (Светлое) (0,5) (б)
Коникс Мон Шер Кассис;403;139156;4;Коникс Мон Шер Кассис | Коникс Мон Шер Кассис (0,25) | Коникс Мон Шер Кассис (0,4)
Айингер Октобер Фест-Марцен;402;413761;6;Айингер Октобер Фест-Марцен (0,25) | Айингер Октобер Фест-Марцен (0,4) | Айингер Октобер Фест-Марцен (0,5)
Бланш де неж;391;422083;5;Бланш де неж | Бланш де неж (0,25) | Бланш де неж (0,5) 
Крик де Лютин;386;218750;6;Крик де Лютин | Крик де Лютин (0,25) | Крик де Лютин (0,4)
Ригеле Хефевайсбир;385;268869;6;Ригеле Хефевайсбир | Ригеле Хефевайсбир (0,25) | Ригеле Хефевайсбир (0,4)
Литовер Мораван;385;391733;4;ВО Литовер Мораван (0,25) | ВО Литовер Мораван (0,4) | ВО Литовер Мораван (0,5) б
DaDa сидр #1 сухой;382;278712;10;DaDa сидр #1 сухой | DaDa сидр #1 сухой (0,25) | DaDa сидр #1 сухой (0,4)
Курпфальц Брау Хеллес;376;372250;5;Курпфальц Брау Хеллес (0,25) | Курпфальц Брау Хеллес (0,4) | Курпфальц Брау Хеллес (0,5)
Weissmuller;375;364423;5;Weissmuller (0,25) | Weissmuller (0,4) | Weissmuller (0,5) 
