Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Лиговский,4BREWERS | Dr.Nopain | 500мл.,Сауэр эли (Ф),Россия,2,765.0,448.84,0.7044,316.16,B,C,C,BCC
Лиговский,"4BREWERS Заяц в шоке, ж/б. 0,450",Сауэр эли (Ф),Россия ,2,1080.0,478.24,1.2583,601.76,B,A,B,BAB
Лиговский,"4Brewers  Лимонно-гранатовый тарт, ж/б. 0,500 .",Сауэр эли (Ф),Россия ,1,446.5,223.44,0.9983,223.06,C,A,C,CAC
Лиговский,"4Brewers  Магия , ж/б. 0,500 .",Сауэр эли (Ф),Россия ,2,1235.0,0.0,0.0,1235.0,A,C,A,ACA
Лиговский,"4Brewers Neuro Juice, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,2,931.0,446.88,1.0833,484.12,B,A,B,BAB
Лиговский,"4Brewers Вторая Личность, ж/б. 0,500 .",Темные эли (Ф),Россия ,1,370.5,196.0,0.8903,174.5,C,A,C,CAC
Лиговский,"4Brewers Доза (Манго + Ананас) , ж/б. 0,500 .",Сауэр эли (Ф),Россия ,1,550.0,0.0,0.0,550.0,C,C,B,CCB
Лиговский,"4Brewers Доза [Mango + Pineapple + Grapefruit], ж/б. 0,500 .",Сауэр эли (Ф),Россия ,2,900.0,478.24,0.8819,421.76,B,A,B,BAB
Лиговский,"4Brewers Доза Апельсин Манго Ананас, ж/б. 0,500 .",Сауэр эли (Ф),Россия ,1,450.0,0.0,0.0,450.0,C,C,B,CCB
Лиговский,"4Brewers Доза(банан+ гуава + манго) , ж/б. 0,500 .",Сауэр эли (Ф),Россия ,1,560.0,0.0,0.0,560.0,C,C,B,CCB
Лиговский,"4Brewers Зависимость Зеленые оливки, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,3,1192.5,667.38,0.7868333333333334,525.12,B,B,B,BBB
