DISH_NAME,KEG_NAME,NOTES,STATUS
Atmosphere brew Кислый Движ,КЕГ Atmosphere brew Кислый Движ 20 л,AUTO,OK
Atmosphere brew Острая Томатная Дичь,КЕГ Atmosphere brew Острая Томатная Дичь,AUTO,OK
Atmosphere brew Томатная Дичь,КЕГ Atmosphere brew Томатная Дичь 20 л,AUTO,OK
Black Cat Moscow Calling,КЕГ Black Cat Moscow Calling,AUTO,OK
Black Cat Out of Passion,КЕГ Black Cat Out of Passion 20 л,AUTO,OK
Brewlok IPA,КЕГ Brewlok IPA 20 л,AUTO,OK
Brewlok Stout,КЕГ Brewlok Stout,AUTO,OK
Brewlok Василиса,КЕГ Brewlok Василиса 20 л,AUTO,OK
Brewlok Пилс,КЕГ Brewlok Пилс 20 л,AUTO,OK
Brewlok Трехлинейка,КЕГ Brewlok Трехлинейка,AUTO,OK
DaDa сидр #1 сухой,КЕГ DaDa сидр #1 сухой 30л,AUTO,OK
DaDa сидр #2 полусухой,КЕГ DaDa сидр #2 полусухой 30л,AUTO,OK
Gletcher Milk of Amnesia,,,ZAPOLNIT
Gletchers Milk of Amnesia,КЕГ Gletchers Milk of Amnesia 20 л,AUTO,OK
Gravity Pr Blueberry Jam,,,ZAPOLNIT
Gusi Clear Sky,КЕГ Gusi Clear Sky 20л,AUTO,OK
Konix Cassis Ruby,,,ZAPOLNIT
Mahatma G.,КЕГ Mahatma G. NEIPA,AUTO,OK
O`Hara`s Irish Red Nitro,КЕГ O`Hara`s Irish Red Nitro,AUTO,OK
O`Hara`s Pale Ale,КЕГ O`Hara`s Pale Ale,AUTO,OK
Odna Tonna Hyperpink,КЕГ Odna Tonna Hyperpink 30л,AUTO,OK
PP Noggenfogger Elixir,КЕГ PP Noggenfogger Elixir,AUTO,OK
PP Sumlight Geliodor,,,ZAPOLNIT
Pilgerstoff Marzen,,,ZAPOLNIT
"Rebel Apple ""Dickiy Crest""","КЕГ Rebel Apple ""Dickiy Crest"" 30л",AUTO,OK
Red Rocket ESB,КЕГ Red Rocket ESB 30l,AUTO,OK
"Red button brewery Fitness, б/а, 0,450 ж/б",,,ZAPOLNIT
Rewort Nutty Nut,КЕГ Rewort  Nutty Nut 20 л,AUTO,OK
Rewort Крылья Доблести,КЕГ Rewort Крылья Доблести 20 л,AUTO,OK
Saldens Double IPA,КЕГ Saldens Double IPA 30 л,AUTO,OK
Saltmelier Naryan-Mar,,,ZAPOLNIT
Selfmade Milk Star,КЕГ Selfmade Milk Star 20 л,AUTO,OK
Starlingtons Black Spot,КЕГ Starlingtons Black Spot,AUTO,OK
Starlingtons Day in Paradise,КЕГ Starlingtons Day in Paradise,AUTO,OK
Starlingtons Knock to Heaven,КЕГ Starlingtons Knock to Heaven 30 л,AUTO,OK
Starlingtons Moonlight,КЕГ Starlingtons Moonlight 30 л,AUTO,OK
True Hops IPA,КЕГ True Hops IPA20 л,AUTO,OK
"Two peaks brew Race & Grace, б/а, 0,45 ж/б",,,ZAPOLNIT
Velka Morava Big Boy From Idaho,КЕГ Velka Morava Big Boy From Idaho,AUTO,OK
Velka Morava Schrader,КЕГ Velka Morava Schrader 30 л,AUTO,OK
Weissmuller,КЕГ Weissmuller 30 л,AUTO,OK
Weissmuller Original Helles,"КЕГ Weissmuller Original Helles, 30 л",AUTO,OK
Абанамат,КЕГ Абанамат 30л ,AUTO,OK
Айингер Весеннее,КЕГ Айингер Весеннее 30 л,AUTO,OK
Айингер Октобер Фест-Марцен,КЕГ Айингер Октобер Фест-Марцен 30 л,AUTO,OK
Астролагер Премиум Пилс,,,ZAPOLNIT
Байройтер хель,КЕГ Байройтер хель 30 л,AUTO,OK
Балтика Брю Брюн,КЕГ Балтика Брю Брюн 30 л,AUTO,OK
Баптист вит,"КЕГ Баптист Вит, светлое",AUTO,OK
Барбе Руби,КЕГ Барбе Руби 30 л,AUTO,OK
Бланш де Намур,"КЕГ Бланш де Намур, светлое",AUTO,OK
Бланш де неж,"КЕГ Бланш де неж, светлое",AUTO,OK
Блек Шип,КЕГ Блек Шип,AUTO,OK
Борнем Блонд,КЕГ Борнем Блонд 20 л,AUTO,OK
Бульви Квинси,КЕГ Бульви Квинси 30л,AUTO,OK
Бульви Семи Драй,КЕГ Бульви Семи Драй л,AUTO,OK
