BeerName,VolumeByPortions,DishAmountInt,ProductCostBase.ProductCost
ФестХаус Хеллес,138.4,245,26296.0
Блек Шип,69.25,140,20775.0
ФестХаус Вайцен,60.85,103,11561.5
Карлова корчма,25.1,45,0.0
Бланш де Намур,22.0,43,9790.0
Brewlok IPA,20.45,39,4969.35
Нишко Лагер,20.1,36,6030.0
Дикий Крест сухой,18.0,39,6262.2
Монкс Кафе,15.05,28,8051.75
Леруа Капиттель Блонд,14.25,27,5557.5
Барбе Руби,13.55,25,9620.5
ФестХаус Октобер,13.0,19,4875.0
Brewlok Stout,8.7,16,1940.1
Brewlok Пилс,8.25,15,1567.5
Гулден Драк 708,5.5,10,0.0
Карлова Корчма,0.5,2,0.0
