DishAmountInt,DishDiscountSumInt,DishForeignName,DishGroup.ThirdParent,DishName,OpenDate.Typed,ProductCostBase.MarkUp,ProductCostBase.ProductCost,Store.Name,Volume_V1,Volume_V2,PortionVolume,TotalLiters
1,199.5,Россия,Темные эли (Р),"Блек Шип (0,25)",2025-09-06,1.66,75.0,Лиговский,0.25,,0.25,0.25
1,210.0,Россия,Темные эли (Р),"Блек Шип (0,25)",2025-09-12,1.8,75.0,Лиговский,0.25,,0.25,0.25
1,199.5,Россия,Темные эли (Р),"Блек Шип (0,25)",2025-09-13,1.66,75.0,Лиговский,0.25,,0.25,0.25
1,199.5,Россия,Темные эли (Р),"Блек Шип (0,25)",2025-09-17,1.66,75.0,Лиговский,0.25,,0.25,0.25
3,630.0,Россия,Темные эли (Р),"Блек Шип (0,25)",2025-09-24,1.8,225.0,Лиговский,0.25,,0.25,0.75
1,304.0,Россия,Темные эли (Р),"Блек Шип (0,4)",2025-09-04,1.5333,120.0,Лиговский,0.4,,0.4,0.4
3,928.0,Россия,Темные эли (Р),"Блек Шип (0,4)",2025-09-12,1.5778,360.0,Лиговский,0.4,,0.4,1.2000000000000002
4,1280.0,Россия,Темные эли (Р),"Блек Шип (0,4)",2025-09-16,1.6667,480.0,Лиговский,0.4,,0.4,1.6
1,288.0,Россия,Темные эли (Р),"Блек Шип (0,4)",2025-09-23,1.4,120.0,Лиговский,0.4,,0.4,0.4
1,320.0,Россия,Темные эли (Р),"Блек Шип (0,4)",2025-09-27,1.6667,120.0,Лиговский,0.4,,0.4,0.4
11,3971.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-03,1.4067,1650.0,Лиговский,0.5,,0.5,5.5
1,361.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-04,1.4067,150.0,Лиговский,0.5,,0.5,0.5
17,6175.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-05,1.4216,2550.0,Лиговский,0.5,,0.5,8.5
15,5415.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-06,1.4067,2250.0,Лиговский,0.5,,0.5,7.5
6,2185.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-07,1.4278,900.0,Лиговский,0.5,,0.5,3.0
6,2166.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-08,1.4067,900.0,Лиговский,0.5,,0.5,3.0
1,361.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-12,1.4067,150.0,Лиговский,0.5,,0.5,0.5
20,7391.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-13,1.4637,3000.0,Лиговский,0.5,,0.5,10.0
6,2261.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-14,1.5122,900.0,Лиговский,0.5,,0.5,3.0
2,722.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-16,1.4067,300.0,Лиговский,0.5,,0.5,1.0
15,5415.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-17,1.4067,2250.0,Лиговский,0.5,,0.5,7.5
3,1121.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-18,1.4911,450.0,Лиговский,0.5,,0.5,1.5
3,1140.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-23,1.5333,450.0,Лиговский,0.5,,0.5,1.5
10,3743.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-24,1.4953,1500.0,Лиговский,0.5,,0.5,5.0
3,1083.0,Россия,Темные эли (Р),"Блек Шип (0,5)",2025-09-26,1.4067,450.0,Лиговский,0.5,,0.5,1.5
1,722.0,Россия,Темные эли (Р),"Блек Шип (1,0)",2025-09-07,1.4067,300.0,Лиговский,1.0,,1.0,1.0
1,760.0,Россия,Темные эли (Р),"Блек Шип (1,0)",2025-09-09,1.5333,300.0,Лиговский,1.0,,1.0,1.0
1,722.0,Россия,Темные эли (Р),"Блек Шип (1,0)",2025-09-16,1.4067,300.0,Лиговский,1.0,,1.0,1.0
1,760.0,Россия,Темные эли (Р),"Блек Шип (1,0)",2025-09-26,1.5333,300.0,Лиговский,1.0,,1.0,1.0
