KegName,DishName,Office_Liters,Our_Liters,Difference,Difference_Pct
КЕГ Brewlok IPA 20 л,Brewlok IPA,20.95,20.45,-0.5,-2.386634844868735
КЕГ Brewlok Stout,Brewlok IPA,8.7,20.45,11.75,135.05747126436782
КЕГ Brewlok Пилс 20 л,Brewlok IPA,8.25,20.45,12.2,147.87878787878788
КЕГ Rebel Apple Дикий Крест,Дикий Крест сухой,18.0,18.0,0.0,0.0
КЕГ Барбе Руби 30 л,Барбе Руби,17.05,13.55,-3.5,-20.527859237536656
"КЕГ Бланш де Намур, светлое",Бланш де Намур,22.5,22.0,-0.5,-2.2222222222222223
КЕГ Блек Шип,Блек Шип,75.0,69.25,-5.75,-7.666666666666666
"КЕГ Гулден Драк 708, 20 л",Гулден Драк 708,6.0,5.5,-0.5,-8.333333333333332
КЕГ Карлова Корчма Премиум 30 л,Карлова корчма,27.0,25.1,-1.8999999999999986,-7.037037037037032
КЕГ Леруа Капиттель Блонд 30 л,Леруа Капиттель Блонд,16.25,14.25,-2.0,-12.307692307692308
КЕГ Монкс Кафе 20 л,Монкс Кафе,15.05,15.05,0.0,0.0
КЕГ Нишко 30 л,Нишко Лагер,20.1,20.1,0.0,0.0
КЕГ ФестХаус Вайцен,ФестХаус Хеллес,61.35,138.4,77.05000000000001,125.59087204563978
КЕГ ФестХаус Октобер,ФестХаус Хеллес,14.5,138.4,123.9,854.4827586206897
КЕГ ФестХаус Хеллес,ФестХаус Хеллес,141.85,138.4,-3.4499999999999886,-2.432146633768057
