BeerName,Bar,TotalLiters,TotalPortions,WeeksActive,AvgPortionSize,AvgLitersPerWeek,Kegs30L,Kegs50L
ФестХаус Хеллес,Кременчугская,508.95,945,5,0.5726096491228071,101.78999999999999,16.96,10.18
ФестХаус Хеллес,Лиговский,140.75,268,5,0.5789583333333332,28.15,4.69,2.82
ФестХаус Хеллес,Варшавская,125.9,217,5,0.6208571428571428,25.18,4.2,2.52
Brewlok IPA,Варшавская,102.45,191,5,0.5980250305250305,20.490000000000002,3.42,2.05
ФестХаус Вайцен,Кременчугская,95.65,138,5,0.7152564102564103,19.130000000000003,3.19,1.91
ФестХаус Октобер,Кременчугская,94.0,153,5,0.6954545454545455,18.8,3.13,1.88
ФестХаус Вайцен,Варшавская,89.2,151,5,0.6421626984126985,17.84,2.97,1.78
ФестХаус Вайцен,Лиговский,71.45,119,5,0.6210714285714285,14.290000000000001,2.38,1.43
ФестХаус Хеллес,Большой пр. В.О,69.55,154,5,0.4412307692307692,13.91,2.32,1.39
Блек Шип,Лиговский,68.0,140,5,0.4837301587301587,13.6,2.27,1.36
Коникс Бланш ма Шери,Варшавская,56.05,105,5,0.5583982683982683,11.209999999999999,1.87,1.12
Нишко Лагер,Варшавская,48.300000000000004,91,5,0.6044722222222222,9.66,1.61,0.97
Бланш де Намур,Кременчугская,44.45,75,5,0.6330375180375181,8.89,1.48,0.89
Пауланер Мюнхен Хель,Кременчугская,40.7,69,2,0.715,20.35,1.36,0.81
Нектар Лагер,Большой пр. В.О,40.15,88,5,0.4626428571428572,8.03,1.34,0.8
ФестХаус Вайцен,Большой пр. В.О,39.6,88,5,0.41432142857142856,7.92,1.32,0.79
ФестХаус Октобер,Лиговский,38.0,66,4,0.625,9.5,1.27,0.76
Джаст Хёфевайцен,Большой пр. В.О,35.9,77,5,0.43669047619047624,7.18,1.2,0.72
Gravity Pr Blueberry Jam,Большой пр. В.О,35.1,87,5,0.39142857142857146,7.0200000000000005,1.17,0.7
План Б Ковбой Мальборо,Большой пр. В.О,34.65,84,5,0.40922222222222226,6.93,1.16,0.69
Айингер Октобер Фест-Марцен,Кременчугская,32.5,46,4,0.8194444444444444,8.125,1.08,0.65
Brewlok Stout,Кременчугская,32.45,57,5,0.52225,6.49,1.08,0.65
ЛеФорт Трипель,Большой пр. В.О,28.950000000000003,72,5,0.4126547619047619,5.790000000000001,0.97,0.58
ФестХаус Октобер,Варшавская,27.5,42,4,0.6979166666666666,6.875,0.92,0.55
Карлова корчма,Лиговский,26.5,48,3,0.625,8.833333333333334,0.88,0.53
Айингер Октобер Фест-Марцен,Большой пр. В.О,26.5,46,5,0.623015873015873,5.3,0.88,0.53
Brewlok Василиса,Большой пр. В.О,26.1,66,5,0.38571428571428573,5.220000000000001,0.87,0.52
ФестХаус Октобер,Большой пр. В.О,26.0,45,3,0.5625,8.666666666666666,0.87,0.52
ХБ Октоберфест,Большой пр. В.О,25.5,43,4,0.6676587301587302,6.375,0.85,0.51
ХБ Октоберфест,Кременчугская,24.5,34,3,0.7142857142857143,8.166666666666666,0.82,0.49
Коникс Черри Руби,Большой пр. В.О,24.3,61,5,0.38934523809523813,4.86,0.81,0.49
Стинбрюгге Бланш,Большой пр. В.О,24.200000000000003,63,5,0.35977272727272724,4.840000000000001,0.81,0.48
Atmosphere brew Кислый Движ,Большой пр. В.О,24.1,60,5,0.4015782828282829,4.82,0.8,0.48
Монкс Кафе,Кременчугская,22.95,50,5,0.41641666666666666,4.59,0.76,0.46
Коникс Черри Руби,Кременчугская,22.5,42,5,0.516,4.5,0.75,0.45
Барбе Руби,Лиговский,22.35,45,4,0.5085069444444444,5.5875,0.74,0.45
Brewlok IPA,Лиговский,22.05,40,5,0.5769047619047619,4.41,0.74,0.44
Бульви Семи Драй,Кременчугская,21.4,37,5,0.5539047619047619,4.279999999999999,0.71,0.43
Штраффе Хендрик Квад,Большой пр. В.О,21.1,50,4,0.393125,5.275,0.7,0.42
Нишко Лагер,Лиговский,20.1,36,1,0.48333333333333334,20.1,0.67,0.4
Пауланер Мюнхен Хель,Большой пр. В.О,19.95,43,5,0.4418333333333333,3.9899999999999998,0.66,0.4
Крик де Лютин,Варшавская,19.55,39,4,0.509375,4.8875,0.65,0.39
Бюльви Рустик полусухой,Большой пр. В.О,17.35,43,4,0.4010416666666667,4.3375,0.58,0.35
Ригеле Файнес Урхелль,Кременчугская,16.4,23,2,0.7250000000000001,8.2,0.55,0.33
Brewlok Stout,Лиговский,16.150000000000002,31,5,0.5236666666666666,3.2300000000000004,0.54,0.32
PP Noggenfogger Elixir,Большой пр. В.О,15.0,38,5,0.39,3.0,0.5,0.3
Коникс Мон Шер Кассис,Большой пр. В.О,14.600000000000001,37,4,0.38708333333333333,3.6500000000000004,0.49,0.29
Нектар Лагер,Варшавская,14.6,30,5,0.485,2.92,0.49,0.29
Пауланер Мюнхен Хель,Варшавская,14.5,24,5,0.5900000000000001,2.9,0.48,0.29
Коникс Черри Руби,Варшавская,13.45,28,3,0.446031746031746,4.483333333333333,0.45,0.27
Black Cat Moscow Calling,Большой пр. В.О,12.7,30,4,0.4215277777777778,3.175,0.42,0.25
Гулден Драк 708,Варшавская,12.55,24,5,0.5135,2.5100000000000002,0.42,0.25
Монкс Кафе,Варшавская,12.3,28,5,0.44666666666666666,2.46,0.41,0.25
Коникс Бланш ма Шери,Лиговский,12.3,21,2,0.59,6.15,0.41,0.25
Selfmade Milk Star,Большой пр. В.О,11.75,31,5,0.37583333333333335,2.35,0.39,0.24
Бульви Семи Драй,Варшавская,11.0,20,5,0.5553333333333332,2.2,0.37,0.22
Абанамат,Большой пр. В.О,10.6,28,5,0.3505,2.12,0.35,0.21
Родное яблочко п/сух,Большой пр. В.О,10.500000000000002,25,2,0.4051136363636364,5.250000000000001,0.35,0.21
Леруа Капиттель Блонд,Кременчугская,10.25,17,5,0.6291666666666667,2.05,0.34,0.2
ХБ Октоберфест,Лиговский,10.0,19,3,0.5238095238095238,3.3333333333333335,0.33,0.2
Леруа Капиттель Блонд,Лиговский,8.25,15,4,0.5677083333333334,2.0625,0.28,0.16
Айингер Октобер Фест-Марцен,Лиговский,8.0,14,3,0.5888888888888889,2.6666666666666665,0.27,0.16
Рей Ривер Stout,Большой пр. В.О,7.95,20,4,0.3979166666666667,1.9875,0.26,0.16
Монкс Кафе,Лиговский,6.75,12,3,0.611111111111111,2.25,0.22,0.14
Brewlok Stout,Варшавская,6.4,10,1,0.65,6.4,0.21,0.13
Гулден Драк 708,Кременчугская,5.9,11,2,0.5166666666666667,2.95,0.2,0.12
Дикий Крест сухой,Лиговский,5.5,11,1,0.5,5.5,0.18,0.11
Гулден Драк 708,Лиговский,5.5,13,3,0.4305555555555556,1.8333333333333333,0.18,0.11
Brewlok IPA,Кременчугская,5.0,10,1,0.5,5.0,0.17,0.1
Бланш де Намур,Лиговский,5.0,10,2,0.5,2.5,0.17,0.1
Литовел Мораван,Кременчугская,4.5,7,1,0.625,4.5,0.15,0.09
Роденбах Гранд Крю,Большой пр. В.О,4.5,11,4,0.4,1.125,0.15,0.09
Степь и Ветер Мед и Смородина,Большой пр. В.О,4.45,11,3,0.4083333333333334,1.4833333333333334,0.15,0.09
Saldens Double IPA,Большой пр. В.О,4.15,10,2,0.40625,2.075,0.14,0.08
Rewort Крылья Доблести,Большой пр. В.О,3.8000000000000003,10,2,0.395,1.9000000000000001,0.13,0.08
Velka Morava Big Boy From Idaho,Большой пр. В.О,3.0,7,2,0.42500000000000004,1.5,0.1,0.06
Гулден Драк 708,Большой пр. В.О,2.0,5,1,0.4,2.0,0.07,0.04
Atmosphere brew Острая Томатная Дичь,Большой пр. В.О,0.9,2,1,0.45,0.9,0.03,0.02
Карлова Корчма,Лиговский,0.5,2,1,0.25,0.5,0.02,0.01
Starlingtons Day in Paradise,Варшавская,0.5,1,1,0.5,0.5,0.02,0.01
Red Rocket ESB,Большой пр. В.О,0.4,1,1,0.4,0.4,0.01,0.01
"ХБ Октоберфест (1,0) с собой",Лиговский,0.0,2,2,0.0,0.0,0.0,0.0
