KEG_NAME,DISH_NAME,STATUS
КЕГ  Традиционный мид СиВ 20 л,Салливанс Айриш Голд,ПРОВЕРИТЬ
КЕГ 4Brewers Реверс Гозе,Brewlok Трехлинейка,ПРОВЕРИТЬ
КЕГ 4brewers Eher Passion Fruit  30 л,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ Atmosphere brew Кислый Движ 20 л,Atmosphere brew Кислый Движ,ПРОВЕРИТЬ
КЕГ Atmosphere brew Острая Томатная Дичь,Atmosphere brew Острая Томатная Дичь,ПРОВЕРИТЬ
КЕГ Atmosphere brew Томатная Дичь 20 л,Atmosphere brew Острая Томатная Дичь,ПРОВЕРИТЬ
КЕГ Black Cat Moscow Calling,Black Cat Moscow Calling,ПРОВЕРИТЬ
КЕГ Black Cat Out of Passion 20 л,Black Cat Out of Passion,ПРОВЕРИТЬ
КЕГ Brewlok 40 Скелетов 20 л,Brewlok Трехлинейка,ПРОВЕРИТЬ
КЕГ Brewlok APA 20 л,Brewlok IPA,ПРОВЕРИТЬ
КЕГ Brewlok DOS 20 л,Brewlok IPA,ПРОВЕРИТЬ
КЕГ Brewlok IPA 20 л,Brewlok IPA,ПРОВЕРИТЬ
КЕГ Brewlok Stout,Brewlok Stout,ПРОВЕРИТЬ
КЕГ Brewlok Баба Яга 20 л,Brewlok Василиса,ПРОВЕРИТЬ
КЕГ Brewlok Василиса 20 л,Brewlok Василиса,ПРОВЕРИТЬ
КЕГ Brewlok Леший 20 л,Brewlok Пилс,ПРОВЕРИТЬ
КЕГ Brewlok Пилс 20 л,Brewlok Пилс,ПРОВЕРИТЬ
КЕГ Brewlok Садко 20 л,Brewlok Пилс,ПРОВЕРИТЬ
КЕГ Brewlok Трехлинейка,Brewlok Трехлинейка,ПРОВЕРИТЬ
КЕГ Brewlok Хармс 20 л,Brewlok Пилс,ПРОВЕРИТЬ
КЕГ Gas brew Saltmelier: Naryan-Mar,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ Gletchers Milk of Amnesia 20 л,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ Gravity Project Blueberry Jam30 л,Gravity Pr Blueberry Jam,ПРОВЕРИТЬ
КЕГ O`Hara`s IPA,Brewlok IPA,ПРОВЕРИТЬ
КЕГ O`Hara`s Irish Red Nitro,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ O`Hara`s Irish Stout,PP Sumlight Geliodor,ПРОВЕРИТЬ
КЕГ O`Hara`s Pale Ale,Brewlok IPA,ПРОВЕРИТЬ
КЕГ Odna Tonna Hyperpink 30л,Saldens Double IPA,ПРОВЕРИТЬ
КЕГ Old Speckled Hen 30 л,Saldens Double IPA,ПРОВЕРИТЬ
КЕГ PP Noggenfogger Elixir,PP Noggenfogger Elixir,ПРОВЕРИТЬ
КЕГ PP Sunlight Geliodor,PP Sumlight Geliodor,ПРОВЕРИТЬ
КЕГ Paradox IPA,Brewlok IPA,ПРОВЕРИТЬ
КЕГ Pilgerstoff Maria Ehrenberger 30 л,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ Rage Aganist the Pepin,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
"КЕГ Rebel Apple ""Dickiy Crest"" 30л","Rebel Apple ""Dickiy Crest""",ПРОВЕРИТЬ
КЕГ Rebel Apple Дикий Крест ,Brewlok Трехлинейка,ПРОВЕРИТЬ
КЕГ Red Rocket ESB 30l,Red Rocket ESB,ПРОВЕРИТЬ
КЕГ Rewort  Nutty Nut 20 л,Rewort Nutty Nut,ПРОВЕРИТЬ
КЕГ Rewort Крылья Доблести 20 л,Rewort Крылья Доблести,ПРОВЕРИТЬ
КЕГ Saldens Double IPA 30 л,Saldens Double IPA,ПРОВЕРИТЬ
КЕГ Selfmade Milk Star 20 л,Selfmade Milk Star,ПРОВЕРИТЬ
КЕГ Starlingtons Black Spot,Starlingtons Black Spot,ПРОВЕРИТЬ
КЕГ Starlingtons Day in Paradise,Starlingtons Day in Paradise,ПРОВЕРИТЬ
КЕГ Starlingtons Knock to Heaven 30 л,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ Starlingtons Moonlight 30 л,Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ True Hops IPA20 л,Brewlok IPA,ПРОВЕРИТЬ
КЕГ Velka Morava Big Boy Amarillo 20 л,Velka Morava Big Boy From Idaho,ПРОВЕРИТЬ
КЕГ Velka Morava Big Boy From Idaho,Velka Morava Big Boy From Idaho,ПРОВЕРИТЬ
КЕГ Velka Morava Schrader 30 л,Velka Morava Schrader,ПРОВЕРИТЬ
КЕГ VelkaMorava Morgana 20л,Velka Morava Schrader,ПРОВЕРИТЬ
КЕГ Weissmuller 30 л,Brewlok Stout,ПРОВЕРИТЬ
"КЕГ Weissmuller Original Helles, 30 л",Gletcher Milk of Amnesia,ПРОВЕРИТЬ
КЕГ XP Brew  Тетрахимена 20 л,Brewlok Трехлинейка,ПРОВЕРИТЬ
КЕГ АФ БРЮ Рэднек 30 л,Крик де Лютин,ПРОВЕРИТЬ
КЕГ Абанамат 30л ,Абанамат,ПРОВЕРИТЬ
"КЕГ Августинер Хефевайсбир, светлое","Ригеле Файнес Урхелль (0,5) (б)",ПРОВЕРИТЬ
КЕГ Айингер Браувайс 30 л,Бульви Семи Драй,ПРОВЕРИТЬ
КЕГ Айингер Весеннее 30 л,Стинбрюгге Бланш,ПРОВЕРИТЬ
КЕГ Айингер Лагер Хель 30 л,Ригеле Файнес Урхелль,ПРОВЕРИТЬ
КЕГ Айингер Октобер Фест-Марцен 30 л,Айингер Октобер Фест-Марцен,ПРОВЕРИТЬ
КЕГ Айингер Столетнее 30 л,Стинбрюгге Бланш,ПРОВЕРИТЬ
КЕГ Айингер Целебратор 30 л,Стинбрюгге Бланш,ПРОВЕРИТЬ
КЕГ Айнзидлер Вайсбир 30 л,Бульви Семи Драй,ПРОВЕРИТЬ
КЕГ Айнзидлер Клауснер Пилс 30 л,Ригеле Файнес Урхелль,ПРОВЕРИТЬ
КЕГ Андерсон Валли Хоп Оттин ИПА 30 л,Леруа Капиттель Блонд,ПРОВЕРИТЬ
