KegName,TotalLiters,DishAmountInt
КЕГ ФестХаус Хеллес,138.4,245
КЕГ Блек Шип,69.25,140
КЕГ ФестХаус Вайцен,60.85,103
КЕГ Карлова Корчма Премиум 30 л,25.6,47
"КЕГ Бланш де Намур, светлое",22.0,43
КЕГ Brewlok IPA 20 л,20.45,39
КЕГ Нишко 30 л,20.1,36
[НЕ НАЙДЕНА КЕГА] Дикий Крест сухой,18.0,39
КЕГ Монкс Кафе 20 л,15.05,28
КЕГ Леруа Капиттель Блонд 30 л,14.25,27
КЕГ Барбе Руби 30 л,13.55,25
КЕГ ФестХаус Октобер,13.0,19
КЕГ Brewlok Stout,8.7,16
КЕГ Brewlok Пилс 20 л,8.25,15
"КЕГ Гулден Драк 708, 20 л",5.5,10
