Бар;Пиво;Литры 2025;Литры 2026;Д Литры;Выручка 2025;Выручка 2026;Д Выручка;Р/литр 25;Р/литр 26;Наценка 2025;Наценка 2026;Маржа 2025;Маржа 2026;Д Маржа;Маржа/литр 25;Маржа/литр 26
Большой пр. В.О;alaska фейхоа;0.0;9.1;NEW;0;9359;NEW;-;1034;-;236%;0;6488;NEW;-;717
Большой пр. В.О;alska лесные ягоды;0.0;7.7;NEW;0;9145;NEW;-;1195;-;303%;0;6850;NEW;-;895
Большой пр. В.О;brewlok ipa;0.0;1.4;NEW;0;1267;NEW;-;905;-;235%;0;890;NEW;-;635
Большой пр. В.О;brewlok stout;0.0;13.8;NEW;0;12046;NEW;-;876;-;292%;0;8928;NEW;-;649
Большой пр. В.О;dada сидр #2 полусухой;0.0;4.7;NEW;0;4938;NEW;-;1062;-;195%;0;3241;NEW;-;697
Большой пр. В.О;femme fatale rouge;0.0;3.2;NEW;0;4020;NEW;-;1237;-;203%;0;2655;NEW;-;817
Большой пр. В.О;paradox ghost whales;0.0;13.9;NEW;0;18406;NEW;-;1324;-;303%;0;13498;NEW;-;971
Большой пр. В.О;pilgerstoff weizen;0.0;8.7;NEW;0;10055;NEW;-;1156;-;241%;0;7101;NEW;-;816
Большой пр. В.О;plague brew rusty blob plum;0.0;0.8;NEW;0;1040;NEW;-;1300;-;215%;0;710;NEW;-;887
Большой пр. В.О;plan b old magic;0.0;3.4;NEW;0;3203;NEW;-;942;-;166%;0;1966;NEW;-;578
Большой пр. В.О;plan b parhelion;0.0;4.5;NEW;0;4025;NEW;-;894;-;191%;0;2569;NEW;-;571
Большой пр. В.О;plan b wave’s tales anne bonny;0.0;4.2;NEW;0;3922;NEW;-;945;-;196%;0;2553;NEW;-;615
Большой пр. В.О;pp sumlight geliodor;0.0;16.5;NEW;0;19574;NEW;-;1186;-;205%;0;13067;NEW;-;792
Большой пр. В.О;red rocket dipa;0.0;20.1;NEW;0;18528;NEW;-;922;-;213%;0;12501;NEW;-;622
Большой пр. В.О;red rocket equator;0.0;15.0;NEW;0;17529;NEW;-;1169;-;211%;0;11899;NEW;-;793
Большой пр. В.О;selfmade tomato method;0.0;8.2;NEW;0;10261;NEW;-;1244;-;300%;0;7762;NEW;-;941
Большой пр. В.О;st. anton plum cider;0.0;26.2;NEW;0;23481;NEW;-;895;-;279%;0;17216;NEW;-;656
Большой пр. В.О;starlingtons moonlight;0.0;21.6;NEW;0;24186;NEW;-;1117;-;187%;0;15743;NEW;-;727
Большой пр. В.О;steppe & wind meadery strawberry mead;0.0;10.9;NEW;0;8758;NEW;-;803;-;230%;0;6131;NEW;-;562
Большой пр. В.О;velka morava frothy froh;0.0;16.9;NEW;0;14806;NEW;-;876;-;309%;0;11111;NEW;-;657
Большой пр. В.О;бланш де намур;0.0;22.7;NEW;0;29050;NEW;-;1280;-;172%;0;18268;NEW;-;805
Большой пр. В.О;бланш де неж;2.6;0.0;-100.0%;3753;0;-100.0%;1464;-;191%;-;2479;0;-100.0%;967;-
Большой пр. В.О;блек шип;0.0;21.7;NEW;0;18277;NEW;-;842;-;173%;0;11767;NEW;-;542
Большой пр. В.О;борнем блонд;5.1;0.0;-100.0%;15180;0;-100.0%;2981;-;207%;-;10201;0;-100.0%;2003;-
